layer,group,ppl,delta_nll,delta_nll_frac,secs,ram_avail_mb,tag
3,0,7.2951,0.016140303676239816,0.008188630736054994,58.5,11400,single_L3_g0
3,2,7.3481,0.02337919018187489,0.011861211483226332,56.3,11777,single_L3_g2
3,3,7.4612,0.03865367296452407,0.019610576160637588,57.0,11605,single_L3_g3
7,0,7.4915,0.04270645827731537,0.021666718538417593,57.1,11850,single_L7_g0
7,1,7.6792,0.06745278884344377,0.03422153579236313,56.8,12054,single_L7_g1
7,3,7.7281,0.07380045056134209,0.037441962054960636,56.6,11847,single_L7_g3
11,3,7.82,0.08562196833347328,0.04343949752377566,56.9,11948,single_L11_g3
7,2,7.8695,0.0919319417857722,0.0466408030005276,55.7,11925,single_L7_g2
11,2,7.8946,0.09511639522251146,0.048256405396411024,56.2,12095,single_L11_g2
15,1,7.9079,0.09679967358231288,0.04911040078527705,56.4,12117,single_L15_g1
11,1,7.9213,0.09849274754700152,0.049969365881830534,57.2,11937,single_L11_g1
15,2,7.9358,0.10032158182835609,0.05089720769372263,56.5,12143,single_L15_g2
11,0,7.9444,0.10140469171875309,0.05144671327409696,57.2,11680,single_L11_g0
15,3,7.9655,0.104057129807066,0.05279240270417973,55.6,12040,single_L15_g3
15,0,7.9922,0.10740347983441036,0.05449014180730758,57.0,12245,single_L15_g0
19,3,8.0777,0.1180445923224236,0.059888809796029334,57.8,10674,single_L19_g3
23,1,8.1037,0.12125816128125497,0.061519183677250455,59.8,11303,single_L23_g1
23,3,8.1062,0.1215666147596627,0.0616756746383004,58.7,11018,single_L23_g3
19,2,8.1078,0.12176397506621185,0.06177580352711831,56.7,10902,single_L19_g2
27,2,8.1557,0.1276544830753252,0.06476429717023427,60.6,11451,single_L27_g2
23,0,8.1614,0.1283531366635066,0.06511875247422332,57.3,11006,single_L23_g0
27,1,8.1707,0.1294919982924678,0.06569654317296672,58.7,11144,single_L27_g1
27,0,8.178,0.1303850357187043,0.0661496172825755,59.8,11102,single_L27_g0
23,2,8.2517,0.13935665350133322,0.070701282889408,73.1,10922,single_L23_g2
19,1,8.2526,0.13946571598818702,0.07075661471276869,56.9,11101,single_L19_g1
3,1,8.4308,0.1608290804570085,0.08159511604607764,58.0,11651,single_L3_g1
19,0,8.494,0.16829744566733293,0.0853841206482261,56.7,11513,single_L19_g0
27,3,8.6058,0.1813738083223389,0.09201828982499399,57.5,11651,single_L27_g3
31,0,8.8332,0.20745476364677704,0.10525021635372246,58.7,11496,single_L31_g0
31,3,8.9022,0.21523585097891965,0.1091978775728672,57.3,11631,single_L31_g3
31,2,9.9348,0.324981158726877,0.16487612366966545,57.2,11754,single_L31_g2
31,1,10.1038,0.3418490044876026,0.1734338660156565,56.9,11724,single_L31_g1
