0.01.772.926 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.773.370 W srv  llama_server: -----------------
0.01.773.372 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.773.373 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.773.373 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.773.373 W srv  llama_server: -----------------
0.01.774.637 I srv    load_model: loading model '/work/Qwen3.5-9B-Q4_K_M.gguf'
1.16.039.435 I cmn          init: llama threadpool init, n_threads = 8
1.17.111.738 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
1.17.171.643 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 45568, kv_unified = 'false'
1.17.198.530 I srv  llama_server: model loaded
1.17.199.160 I srv  llama_server: listening on http://0.0.0.0:18101
1.19.318.142 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.19.322.067 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.20.199.004 I slot print_timing: id  0 | task 1 | prompt eval time =     704.86 ms /    13 tokens (   54.22 ms per token,    18.44 tokens per second)
1.20.199.012 I slot print_timing: id  0 | task 1 |        eval time =     171.46 ms /     8 tokens (   24.49 ms per token,    40.83 tokens per second)
1.20.199.013 I slot print_timing: id  0 | task 1 |       total time =     876.32 ms /    21 tokens
1.20.199.018 I slot print_timing: id  0 | task 1 |    graphs reused =          7
1.20.200.587 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20, truncated = 0
1.21.805.119 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 108527712016
1.21.863.024 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
1.25.359.456 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =   6144, progress = 0.19, t =   3.50 s / 1757.24 tokens per second
1.26.830.514 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =   8192, progress = 0.26, t =   4.97 s / 1649.14 tokens per second
1.28.339.236 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  10240, progress = 0.32, t =   6.48 s / 1581.18 tokens per second
1.29.887.922 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  12288, progress = 0.39, t =   8.02 s / 1531.24 tokens per second
1.31.480.564 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  14336, progress = 0.45, t =   9.62 s / 1490.62 tokens per second
1.33.117.905 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  16384, progress = 0.52, t =  11.25 s / 1455.73 tokens per second
1.34.783.929 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  18432, progress = 0.58, t =  12.92 s / 1426.53 tokens per second
1.36.480.696 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  20480, progress = 0.65, t =  14.62 s / 1401.05 tokens per second
1.38.220.120 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  22528, progress = 0.71, t =  16.36 s / 1377.26 tokens per second
1.40.017.418 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  24576, progress = 0.77, t =  18.15 s / 1353.73 tokens per second
1.41.820.623 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  26624, progress = 0.84, t =  19.96 s / 1334.03 tokens per second
1.43.671.455 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  28672, progress = 0.90, t =  21.81 s / 1314.72 tokens per second
1.45.556.216 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  30720, progress = 0.97, t =  23.69 s / 1296.58 tokens per second
1.46.385.564 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  30723, progress = 0.97, t =  24.52 s / 1252.85 tokens per second
1.46.556.039 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  31747, progress = 1.00, t =  24.69 s / 1285.67 tokens per second
1.47.581.295 I slot print_timing: id  0 | task 11 | prompt eval time =   25567.58 ms / 31751 tokens (    0.81 ms per token,  1241.85 tokens per second)
1.47.581.299 I slot print_timing: id  0 | task 11 |        eval time =     150.65 ms /     8 tokens (   21.52 ms per token,    46.46 tokens per second)
1.47.581.299 I slot print_timing: id  0 | task 11 |       total time =   25718.24 ms / 31759 tokens
1.47.581.300 I slot print_timing: id  0 | task 11 |    graphs reused =         13
1.48.190.623 I slot      release: id  0 | task 11 | stop processing: n_tokens = 31758, truncated = 0
1.48.535.374 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 108555702052
1.49.191.778 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
1.52.829.256 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   6144, progress = 0.20, t =   3.64 s / 1689.10 tokens per second
1.54.338.215 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   8192, progress = 0.27, t =   5.15 s / 1591.79 tokens per second
1.55.870.812 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  10240, progress = 0.34, t =   6.68 s / 1533.32 tokens per second
