0.00.925.629 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.926.425 W srv  llama_server: -----------------
0.00.926.428 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.926.428 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.926.429 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.926.429 W srv  llama_server: -----------------
0.00.928.840 I srv    load_model: loading model '/work/Qwen3.5-9B-Q4_K_M.gguf'
0.18.440.421 I cmn          init: llama threadpool init, n_threads = 8
0.18.960.524 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.18.993.080 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 118784, kv_unified = 'false'
0.19.014.551 I srv  llama_server: model loaded
0.19.014.558 I srv  llama_server: listening on http://0.0.0.0:18106
0.20.488.061 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.488.192 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.25.258.824 I slot print_timing: id  0 | task 1 | prompt eval time =     425.31 ms /    13 tokens (   32.72 ms per token,    30.57 tokens per second)
0.25.258.827 I slot print_timing: id  0 | task 1 |        eval time =    4345.28 ms /     8 tokens (  620.75 ms per token,     1.61 tokens per second)
0.25.258.828 I slot print_timing: id  0 | task 1 |       total time =    4770.59 ms /    21 tokens
0.25.258.833 I slot print_timing: id  0 | task 1 |    graphs reused =          7
0.25.258.862 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20, truncated = 0
0.25.350.876 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 109434119961
0.25.414.723 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
0.29.532.694 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =   6144, progress = 0.19, t =   4.12 s / 1492.01 tokens per second
0.31.055.546 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =   8192, progress = 0.26, t =   5.64 s / 1452.28 tokens per second
0.32.622.381 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  10240, progress = 0.32, t =   7.21 s / 1420.72 tokens per second
0.34.245.923 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  12288, progress = 0.39, t =   8.83 s / 1391.44 tokens per second
0.35.901.362 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  14336, progress = 0.45, t =  10.49 s / 1367.08 tokens per second
0.37.617.063 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  16384, progress = 0.52, t =  12.20 s / 1342.70 tokens per second
0.39.354.136 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  18432, progress = 0.58, t =  13.94 s / 1322.30 tokens per second
0.41.133.397 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  20480, progress = 0.65, t =  15.72 s / 1302.91 tokens per second
0.42.960.549 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  22528, progress = 0.71, t =  17.55 s / 1283.95 tokens per second
0.44.829.292 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  24576, progress = 0.77, t =  19.41 s / 1265.86 tokens per second
0.46.739.631 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  26624, progress = 0.84, t =  21.32 s / 1248.50 tokens per second
0.48.737.790 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  28672, progress = 0.90, t =  23.32 s / 1229.34 tokens per second
0.50.800.790 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  30720, progress = 0.97, t =  25.39 s / 1210.11 tokens per second
0.51.723.422 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  31235, progress = 0.98, t =  26.31 s / 1187.25 tokens per second
0.51.859.761 I slot print_timing: id  0 | task 11 | prompt processing, n_tokens =  31747, progress = 1.00, t =  26.44 s / 1200.49 tokens per second
0.52.479.625 I slot print_timing: id  0 | task 11 | prompt eval time =   26892.95 ms / 31751 tokens (    0.85 ms per token,  1180.64 tokens per second)
0.52.479.628 I slot print_timing: id  0 | task 11 |        eval time =     171.93 ms /     8 tokens (   24.56 ms per token,    40.71 tokens per second)
0.52.479.629 I slot print_timing: id  0 | task 11 |       total time =   27064.88 ms / 31759 tokens
0.52.479.630 I slot print_timing: id  0 | task 11 |    graphs reused =         13
0.52.480.801 I slot      release: id  0 | task 11 | stop processing: n_tokens = 31758, truncated = 0
0.52.574.973 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 109461341900
0.52.812.332 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
0.57.031.154 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   6144, progress = 0.20, t =   4.22 s / 1456.34 tokens per second
0.58.602.063 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =   8192, progress = 0.27, t =   5.79 s / 1414.93 tokens per second
1.00.212.829 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  10240, progress = 0.34, t =   7.40 s / 1383.70 tokens per second
1.01.857.078 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  12288, progress = 0.40, t =   9.04 s / 1358.58 tokens per second
1.03.545.188 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  14336, progress = 0.47, t =  10.73 s / 1335.72 tokens per second
1.05.268.037 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  16384, progress = 0.54, t =  12.46 s / 1315.38 tokens per second
1.07.036.150 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  18432, progress = 0.61, t =  14.22 s / 1295.86 tokens per second
1.08.851.277 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  20480, progress = 0.67, t =  16.04 s / 1276.89 tokens per second
1.10.709.327 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  22528, progress = 0.74, t =  17.90 s / 1258.76 tokens per second
1.12.641.186 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  24576, progress = 0.81, t =  19.83 s / 1239.41 tokens per second
1.14.570.110 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  26624, progress = 0.87, t =  21.76 s / 1223.66 tokens per second
1.16.539.813 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  28672, progress = 0.94, t =  23.73 s / 1208.39 tokens per second
1.18.000.139 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  29947, progress = 0.98, t =  25.19 s / 1188.95 tokens per second
1.18.327.271 I slot print_timing: id  0 | task 37 | prompt processing, n_tokens =  30459, progress = 1.00, t =  25.51 s / 1193.77 tokens per second
