Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.1,1840048009451,485,3793913421.5,464415.0,11793,65640888716,11196033316.2,pthread_cond_wait
12.8,331015735721,12287,26940321.9,10063186.0,1001,288498127,35513861.5,poll
6.6,170279899558,59,2886099992.5,1000063150.0,72869,60000057827,10515727854.8,pthread_cond_clockwait
4.4,114426575445,63,1816294848.3,1008876996.0,15515050,49891533370,6162937415.6,accept4
4.4,113514255415,227,500062799.2,500063520.0,500016881,500078369,7044.5,pthread_cond_timedwait
0.7,17433399411,33,528284830.6,12003.0,2776,17402617415,3029243421.2,mmap
0.0,348372371,1477,235864.8,70805.0,1002,46401916,1961274.1,ioctl
0.0,87870416,25,3514816.6,7314.0,2865,63114046,13277850.7,munmap
0.0,50839266,65,782142.6,85623.0,2885,16682874,2453610.9,fwrite
0.0,21290105,7597,2802.4,1052.0,1001,7217757,88697.8,fread
0.0,16602791,18,922377.3,24887.0,19717,9814703,2416927.4,pthread_join
0.0,4837763,29,166819.4,8115.0,4749,3901440,720216.7,mmap64
0.0,2397330,146,16420.1,15725.0,1864,71076,10943.2,fopen
0.0,1986958,62,32047.7,24862.0,11261,230589,28985.5,send
0.0,1718866,24,71619.4,71746.5,23445,100020,18603.8,pthread_create
0.0,1637785,104,15747.9,18104.5,1012,42161,12903.7,shutdown
0.0,1061462,11,96496.5,31971.0,18285,483131,157563.3,sem_timedwait
0.0,1057293,1,1057293.0,1057293.0,1057293,1057293,0.0,nanosleep
0.0,665400,265,2510.9,2014.0,1503,78439,4738.1,pthread_cond_broadcast
0.0,633473,211,3002.2,2745.0,1072,10079,1458.4,pthread_cond_signal
0.0,533917,71,7520.0,6903.0,1192,22122,3172.8,close
0.0,530972,168,3160.5,2449.5,1042,11582,1959.8,recv
0.0,488083,115,4244.2,4017.0,1002,13626,2728.3,fclose
0.0,334857,47,7124.6,5621.0,3016,18766,3434.2,open64
0.0,262511,87,3017.4,2555.0,1012,11081,1835.0,fcntl
0.0,257702,13,19823.2,11292.0,4268,93769,24534.8,fgets
0.0,208629,54,3863.5,2370.0,1002,31731,4567.6,stat
0.0,111509,21,5310.0,4418.0,4008,11702,2180.5,fflush
0.0,71338,35,2038.2,1653.0,1042,6292,1174.8,read
0.0,37751,3,12583.7,14908.0,7494,15349,4413.3,socket
0.0,37552,6,6258.7,6462.5,2805,9197,2304.0,open
0.0,28552,13,2196.3,1873.0,1002,3757,1010.6,write
0.0,26692,16,1668.3,1628.5,1082,2775,486.7,fputs
0.0,21690,4,5422.5,5049.5,3937,7654,1769.3,pipe2
0.0,16863,1,16863.0,16863.0,16863,16863,0.0,connect
0.0,13476,1,13476.0,13476.0,13476,13476,0.0,pthread_mutex_lock
0.0,8396,2,4198.0,4198.0,2795,5601,1984.1,bind
0.0,6412,2,3206.0,3206.0,3006,3406,282.8,signal
0.0,4019,2,2009.5,2009.5,1674,2345,474.5,listen
0.0,1102,1,1102.0,1102.0,1102,1102,0.0,sigaction
