0.01.647.464 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.648.253 W srv  llama_server: -----------------
0.01.648.257 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.648.257 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.648.257 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.648.258 W srv  llama_server: -----------------
0.01.649.561 I srv    load_model: loading model '/models/Qwen3.5-9B-Q4_K_M.gguf'
0.19.775.615 I cmn          init: llama threadpool init, n_threads = 8
0.20.755.357 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.20.798.645 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 49664, kv_unified = 'false'
0.20.866.383 I srv  llama_server: model loaded
0.20.866.394 I srv  llama_server: listening on http://0.0.0.0:18206
0.24.405.818 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.405.944 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.26.321.634 I slot print_timing: id  0 | task 1 | prompt eval time =    1792.67 ms /    13 tokens (  137.90 ms per token,     7.25 tokens per second)
0.26.321.638 I slot print_timing: id  0 | task 1 |        eval time =     122.98 ms /     8 tokens (   17.57 ms per token,    56.92 tokens per second)
0.26.321.638 I slot print_timing: id  0 | task 1 |       total time =    1915.65 ms /    21 tokens
0.26.321.643 I slot print_timing: id  0 | task 1 |    graphs reused =          7
0.26.321.694 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20, truncated = 0
0.26.402.185 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 115542463178
0.26.457.975 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
0.29.570.811 I slot print_timing: id  0 | task 11 | n_gen =    187, tg =  61.82 t/s, tg_3s =  62.15 t/s
0.31.410.055 I slot print_timing: id  0 | task 11 | prompt eval time =     103.87 ms /    90 tokens (    1.15 ms per token,   866.47 tokens per second)
0.31.410.059 I slot print_timing: id  0 | task 11 |        eval time =    4848.19 ms /   298 tokens (   16.32 ms per token,    61.26 tokens per second)
0.31.410.060 I slot print_timing: id  0 | task 11 |       total time =    4952.06 ms /   388 tokens
0.31.410.061 I slot print_timing: id  0 | task 11 |    graphs reused =        302
0.31.410.098 I slot      release: id  0 | task 11 | stop processing: n_tokens = 387, truncated = 0
0.31.418.460 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.118 (> 0.100 thold), f_keep = 0.072
0.31.482.143 I slot launch_slot_: id  0 | task 311 | processing task, is_child = 0
0.34.715.522 I slot print_timing: id  0 | task 311 | n_gen =    174, tg =  57.66 t/s, tg_3s =  57.99 t/s
0.37.725.832 I slot print_timing: id  0 | task 311 | n_gen =    354, tg =  58.73 t/s, tg_3s =  59.79 t/s
0.40.378.023 I slot print_timing: id  0 | task 311 | prompt eval time =     233.10 ms /   237 tokens (    0.98 ms per token,  1016.75 tokens per second)
0.40.378.026 I slot print_timing: id  0 | task 311 |        eval time =    8662.76 ms /   512 tokens (   16.95 ms per token,    58.99 tokens per second)
0.40.378.027 I slot print_timing: id  0 | task 311 |       total time =    8895.86 ms /   749 tokens
0.40.378.028 I slot print_timing: id  0 | task 311 |    graphs reused =        807
0.40.378.034 I slot print_timing: id  0 | task 311 | draft acceptance = 0.00000 (    0 accepted /     8 generated), mean len =  1.00
0.40.378.081 I slot      release: id  0 | task 311 | stop processing: n_tokens = 748, truncated = 0
0.40.388.696 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.199 (> 0.100 thold), f_keep = 0.037
