0.02.163.373 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.164.234 W srv  llama_server: -----------------
0.02.164.238 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.164.238 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.164.239 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.164.239 W srv  llama_server: -----------------
0.02.165.588 I srv    load_model: loading model '/models/Qwen3.5-9B-Q4_K_M.gguf'
0.30.783.449 I cmn          init: llama threadpool init, n_threads = 8
0.31.363.600 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.31.393.653 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 49664, kv_unified = 'false'
0.31.465.204 I srv  llama_server: model loaded
0.31.465.217 I srv  llama_server: listening on http://0.0.0.0:18204
0.34.834.263 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.834.414 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.35.679.600 I slot print_timing: id  0 | task 1 | prompt eval time =     624.17 ms /    13 tokens (   48.01 ms per token,    20.83 tokens per second)
0.35.679.605 I slot print_timing: id  0 | task 1 |        eval time =     220.98 ms /     8 tokens (   31.57 ms per token,    31.68 tokens per second)
0.35.679.606 I slot print_timing: id  0 | task 1 |       total time =     845.16 ms /    21 tokens
0.35.679.610 I slot print_timing: id  0 | task 1 |    graphs reused =          7
0.35.679.664 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20, truncated = 0
0.35.751.337 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 114794049911
0.35.819.889 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
0.40.532.319 I slot print_timing: id  0 | task 11 | n_gen =    112, tg =  24.89 t/s, tg_3s =  25.12 t/s
0.43.548.058 I slot print_timing: id  0 | task 11 | n_gen =    144, tg =  19.13 t/s, tg_3s =  10.61 t/s
0.52.844.143 I slot print_timing: id  0 | task 11 | n_gen =    247, tg =  14.67 t/s, tg_3s =  11.08 t/s
0.53.661.942 I slot print_timing: id  0 | task 11 | prompt eval time =     253.00 ms /    90 tokens (    2.81 ms per token,   355.74 tokens per second)
0.53.661.943 I slot print_timing: id  0 | task 11 |        eval time =   17589.04 ms /   298 tokens (   59.22 ms per token,    16.89 tokens per second)
0.53.661.944 I slot print_timing: id  0 | task 11 |       total time =   17842.03 ms /   388 tokens
0.53.661.944 I slot print_timing: id  0 | task 11 |    graphs reused =        292
0.53.661.961 I slot print_timing: id  0 | task 11 | draft acceptance = 0.14583 (    7 accepted /    48 generated), mean len =  8.00
0.53.661.991 I slot      release: id  0 | task 11 | stop processing: n_tokens = 387, truncated = 0
0.58.495.349 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.118 (> 0.100 thold), f_keep = 0.072
0.58.568.035 I slot launch_slot_: id  0 | task 304 | processing task, is_child = 0
0.58.828.960 I common_ngram_map_begin: refresh map: idx_last_draft=386, new begin=237, #keys_checked=1, #keys_del=1, #values_del=0, #hashes_upd=222
1.01.841.369 I slot print_timing: id  0 | task 304 | n_gen =    168, tg =  55.45 t/s, tg_3s =  55.78 t/s
1.09.219.244 I slot print_timing: id  0 | task 304 | n_gen =    282, tg =  27.05 t/s, tg_3s =  15.45 t/s
1.09.858.726 I slot print_timing: id  0 | task 304 | prompt eval time =     261.48 ms /   237 tokens (    1.10 ms per token,   906.38 tokens per second)
1.09.858.727 I slot print_timing: id  0 | task 304 |        eval time =   11029.19 ms /   332 tokens (   33.32 ms per token,    30.01 tokens per second)
1.09.858.728 I slot print_timing: id  0 | task 304 |       total time =   11290.67 ms /   569 tokens
1.09.858.729 I slot print_timing: id  0 | task 304 |    graphs reused =        554
1.09.858.747 I slot print_timing: id  0 | task 304 | draft acceptance = 0.63542 (   61 accepted /    96 generated), mean len = 31.50
1.09.858.802 I slot      release: id  0 | task 304 | stop processing: n_tokens = 568, truncated = 0
1.10.488.085 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.199 (> 0.100 thold), f_keep = 0.049
1.10.555.968 I slot launch_slot_: id  0 | task 577 | processing task, is_child = 0
1.10.695.150 I common_ngram_map_begin: shrink cleanup begin: 237 -> 81
1.10.695.345 I common_ngram_map_begin: refresh map: idx_last_draft=567, new begin=141, #keys_checked=2, #keys_del=2, #values_del=0, #hashes_upd=309
1.12.609.991 I slot print_timing: id  0 | task 577 | prompt eval time =     139.93 ms /   141 tokens (    0.99 ms per token,  1007.67 tokens per second)
1.12.609.997 I slot print_timing: id  0 | task 577 |        eval time =    1908.58 ms /   125 tokens (   15.39 ms per token,    64.97 tokens per second)
1.12.609.998 I slot print_timing: id  0 | task 577 |       total time =    2048.51 ms /   266 tokens
1.12.609.999 I slot print_timing: id  0 | task 577 |    graphs reused =        660
1.12.610.019 I slot print_timing: id  0 | task 577 | draft acceptance = 0.27083 (   13 accepted /    48 generated), mean len = 14.00
1.12.610.066 I slot      release: id  0 | task 577 | stop processing: n_tokens = 265, truncated = 0
1.12.700.144 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 114830980312
1.12.759.912 I slot launch_slot_: id  0 | task 691 | processing task, is_child = 0
1.16.140.280 I slot print_timing: id  0 | task 691 | n_gen =    174, tg =  57.60 t/s, tg_3s =  57.93 t/s
1.19.144.005 I slot print_timing: id  0 | task 691 | n_gen =    355, tg =  58.93 t/s, tg_3s =  60.26 t/s
1.22.158.045 I slot print_timing: id  0 | task 691 | n_gen =    484, tg =  53.54 t/s, tg_3s =  42.80 t/s
1.22.625.854 I slot print_timing: id  0 | task 691 | prompt eval time =     376.69 ms /   431 tokens (    0.87 ms per token,  1144.19 tokens per second)
1.22.625.859 I slot print_timing: id  0 | task 691 |        eval time =    9489.23 ms /   512 tokens (   18.57 ms per token,    53.85 tokens per second)
