0.03.572.204 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.03.572.659 W srv  llama_server: -----------------
0.03.572.661 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.03.572.661 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.03.572.661 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.03.572.661 W srv  llama_server: -----------------
0.03.573.926 I srv    load_model: loading model '/models/Qwen3.5-9B-Q4_K_M.gguf'
0.30.272.115 I cmn          init: llama threadpool init, n_threads = 8
0.31.038.080 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.31.096.272 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 49664, kv_unified = 'false'
0.31.120.494 I srv  llama_server: model loaded
0.31.120.519 I srv  llama_server: listening on http://0.0.0.0:18201
0.34.683.032 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.683.198 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.35.523.010 I slot print_timing: id  0 | task 1 | prompt eval time =     704.05 ms /    13 tokens (   54.16 ms per token,    18.46 tokens per second)
0.35.523.014 I slot print_timing: id  0 | task 1 |        eval time =     135.73 ms /     8 tokens (   19.39 ms per token,    51.57 tokens per second)
0.35.523.015 I slot print_timing: id  0 | task 1 |       total time =     839.78 ms /    21 tokens
0.35.523.020 I slot print_timing: id  0 | task 1 |    graphs reused =          7
0.35.523.049 I slot      release: id  0 | task 1 | stop processing: n_tokens = 20, truncated = 0
0.35.591.786 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 113431509985
0.35.649.828 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
0.38.766.510 I slot print_timing: id  0 | task 11 | n_gen =    186, tg =  61.44 t/s, tg_3s =  61.77 t/s
0.40.620.559 I slot print_timing: id  0 | task 11 | prompt eval time =     105.51 ms /    90 tokens (    1.17 ms per token,   852.98 tokens per second)
0.40.620.563 I slot print_timing: id  0 | task 11 |        eval time =    4865.19 ms /   298 tokens (   16.38 ms per token,    61.05 tokens per second)
0.40.620.563 I slot print_timing: id  0 | task 11 |       total time =    4970.70 ms /   388 tokens
0.40.620.564 I slot print_timing: id  0 | task 11 |    graphs reused =        302
0.40.620.589 I slot      release: id  0 | task 11 | stop processing: n_tokens = 387, truncated = 0
0.40.631.447 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.118 (> 0.100 thold), f_keep = 0.072
0.40.694.251 I slot launch_slot_: id  0 | task 311 | processing task, is_child = 0
0.43.907.727 I slot print_timing: id  0 | task 311 | n_gen =    181, tg =  59.98 t/s, tg_3s =  60.32 t/s
0.46.910.376 I slot print_timing: id  0 | task 311 | n_gen =    361, tg =  59.97 t/s, tg_3s =  59.95 t/s
0.49.430.677 I slot print_timing: id  0 | task 311 | prompt eval time =     212.62 ms /   237 tokens (    0.90 ms per token,  1114.65 tokens per second)
0.49.430.680 I slot print_timing: id  0 | task 311 |        eval time =    8523.78 ms /   512 tokens (   16.68 ms per token,    59.95 tokens per second)
0.49.430.681 I slot print_timing: id  0 | task 311 |       total time =    8736.41 ms /   749 tokens
0.49.430.682 I slot print_timing: id  0 | task 311 |    graphs reused =        810
0.49.430.714 I slot      release: id  0 | task 311 | stop processing: n_tokens = 748, truncated = 0
0.49.440.978 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.199 (> 0.100 thold), f_keep = 0.037
0.49.509.549 I slot launch_slot_: id  0 | task 825 | processing task, is_child = 0
0.51.731.697 I slot print_timing: id  0 | task 825 | prompt eval time =     154.76 ms /   141 tokens (    1.10 ms per token,   911.09 tokens per second)
0.51.731.700 I slot print_timing: id  0 | task 825 |        eval time =    2067.37 ms /   125 tokens (   16.67 ms per token,    59.98 tokens per second)
0.51.731.701 I slot print_timing: id  0 | task 825 |       total time =    2222.13 ms /   266 tokens
0.51.731.702 I slot print_timing: id  0 | task 825 |    graphs reused =        932
0.51.731.723 I slot      release: id  0 | task 825 | stop processing: n_tokens = 265, truncated = 0
0.51.741.631 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 113447718659
0.51.800.698 I slot launch_slot_: id  0 | task 952 | processing task, is_child = 0
0.55.217.430 I slot print_timing: id  0 | task 952 | n_gen =    180, tg =  59.64 t/s, tg_3s =  59.97 t/s
0.58.223.929 I slot print_timing: id  0 | task 952 | n_gen =    359, tg =  59.59 t/s, tg_3s =  59.54 t/s
1.00.786.187 I slot print_timing: id  0 | task 952 | prompt eval time =     415.32 ms /   431 tokens (    0.96 ms per token,  1037.75 tokens per second)
1.00.786.191 I slot print_timing: id  0 | task 952 |        eval time =    8570.14 ms /   512 tokens (   16.77 ms per token,    59.63 tokens per second)
1.00.786.192 I slot print_timing: id  0 | task 952 |       total time =    8985.47 ms /   943 tokens
1.00.786.193 I slot print_timing: id  0 | task 952 |    graphs reused =       1440
1.00.786.234 I slot      release: id  0 | task 952 | stop processing: n_tokens = 942, truncated = 0
1.02.202.719 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.246 (> 0.100 thold), f_keep = 0.030
1.02.274.482 I slot launch_slot_: id  0 | task 1466 | processing task, is_child = 0
1.05.393.682 I slot print_timing: id  0 | task 1466 | n_gen =    183, tg =  60.54 t/s, tg_3s =  60.88 t/s
1.07.051.010 I slot print_timing: id  0 | task 1466 | prompt eval time =     113.04 ms /   114 tokens (    0.99 ms per token,  1008.49 tokens per second)
1.07.051.013 I slot print_timing: id  0 | task 1466 |        eval time =    4663.47 ms /   283 tokens (   16.54 ms per token,    60.47 tokens per second)
1.07.051.014 I slot print_timing: id  0 | task 1466 |       total time =    4776.51 ms /   397 tokens
1.07.051.015 I slot print_timing: id  0 | task 1466 |    graphs reused =       1720
1.07.051.038 I slot      release: id  0 | task 1466 | stop processing: n_tokens = 396, truncated = 0
1.07.062.400 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.179 (> 0.100 thold), f_keep = 0.071
1.07.124.088 I slot launch_slot_: id  0 | task 1751 | processing task, is_child = 0
