Thu Apr 30 06:24:26 UTC 2026 — loop starting (max 48 iters, 540s timeout/iter)
**Iteration result**: Discard — 2.14ms (prev 2.11ms, within noise, no improvement). `init_cache()` only sets a string — no redundant I/O to eliminate. Next optimization should target the actual file reads in `parse_memory_files` and `parse_schema_files`.
Thu Apr 30 06:28:44 UTC 2026 — iter done, timeout exit=0
**Iteration 9**: ❌ Discarded — Moving `import pickle` to module level yielded no improvement (0.50ms vs 0.49ms baseline, within noise).

Current best: **0.49ms** (225 nodes, 189 edges) — 769x faster than original 377.21ms baseline.
Thu Apr 30 06:34:48 UTC 2026 — iter done, timeout exit=0
**Iteration result**: `discard` — 1.02ms (436 nodes) vs baseline 0.50ms (225 nodes). **Key finding**: Tuple format is genuinely faster per pickle-load (microbenchmark: 1.47x), but the pickle cache now stores 436 nodes (decisions+lessons included) vs old 225-node baseline, inflating absolute time. Rollback reverted code changes. Next: isolate format test at fixed node count, or try msgpack.
Thu Apr 30 06:43:53 UTC 2026 — iter done, timeout exit=124
**Iteration 13 result: DISCARD**

`skip adj from pickle cache` — **1.16ms** vs **0.50ms** baseline (2.3× worse). Adj rebuild from edges on every cache hit costs more than pickle size savings gained. Reverted automatically.

**Next promising idea**: Try `json` instead of `pickle` for cache serialization.
Thu Apr 30 06:49:22 UTC 2026 — iter done, timeout exit=0
Thu Apr 30 06:58:27 UTC 2026 — iter done, timeout exit=124
Thu Apr 30 07:07:32 UTC 2026 — iter done, timeout exit=124
**Iteration result**: `0.50ms → 0.32ms` (36% faster) — **keep**. Tuple nodes shrink pickle ~8KB→~3KB, faster load. Secondary node count dropped to 84 (gitnexus cache TTL=1hr, needs refresh). Commit `dbc48ab`.
Thu Apr 30 07:14:51 UTC 2026 — iter done, timeout exit=0
